word,count
said,16983021
would,5829046
one,5827762
new,5619190
also,4618213
us,4602698
people,4302038
last,4096900
year,4011794
two,3964132
first,3839805
mr,3733867
years,3637413
time,3635743
could,3374874
like,3058686
government,2520213
says,2417349
may,2392780
get,2346948
many,2344523
back,2295700
million,2254243
three,2250192
president,2188342
even,2175393
made,2130240
make,2104941
told,2092901
since,2041695
world,2039937
percent,2022480
police,2014246
well,1965766
still,1956830
state,1948080
way,1936598
much,1878809
say,1866764
day,1831547
week,1829326
home,1827477
take,1785401
per,1779027
work,1770891
going,1744157
think,1670552
company,1665813
good,1635399
dont,1629470
next,1605312
including,1594878
see,1561681
states,1543080
another,1536906
group,1521292
go,1508943
public,1506214
de,1499252
house,1494729
around,1482326
city,1474864
former,1461398
part,1446427
second,1433374
national,1415821
obama,1405173
know,1386985
want,1379618
game,1371927
four,1371026
news,1368258
found,1366150
end,1353922
right,1336446
court,1330415
team,1329924
united,1310663
need,1307166
report,1299320
country,1295474
help,1289800
according,1281615
business,1275142
market,1267848
life,1256404
long,1241997
set,1232190
months,1227413
man,1226578
best,1211260
come,1208188
cent,1203954
officials,1195384
family,1186523
left,1178728
high,1177789
show,1172153
health,1163666
york,1161010
days,1145178
used,1145134
big,1140216
times,1134700
got,1133910
five,1133189
put,1131008
american,1129213
case,1122860
place,1117026
international,1116045
use,1113118
money,1111993
month,1107358
financial,1097721
really,1094620
